c1,c2
7.232254,13.128252
10.796524,-4.625796
1.6358219,-5.4613457
11.914376,-4.2824745
9.489083,-7.2589784
13.74412,-0.5621811
4.6260695,13.371117
10.260259,-6.1549206
-0.1941343,5.3159294
-0.7998556,2.2385523
12.077928,9.228703
0.3858507,8.473279
7.5969214,11.964141
14.351874,0.07408571
15.160941,4.0259986
-0.83622104,5.7475343
14.847223,-2.1760502
9.305935,14.454724
12.662582,-4.040391
10.638206,14.880381
9.9084,13.215552
6.74631,9.74468
10.550308,15.053098
7.9933434,14.075547
5.168266,11.189431
2.5287492,-7.643062
12.459877,10.018421
5.1150665,12.254319
10.057969,11.888997
2.8810198,13.686686
13.399919,3.0503895
8.503624,13.732727
13.966279,0.1999951
4.9466157,12.631909
1.695697,8.976098
6.5957837,12.406688
15.24513,3.7142746
13.484095,-2.543935
1.9022192,8.7718935
15.245304,9.54458
9.272279,14.110249
11.129593,11.064102
1.367949,-0.8977528
12.917022,5.6381125
1.8346868,-5.819479
0.22910485,4.096541
10.527022,-3.9016669
10.978256,-6.625599
12.967795,-3.9618936
15.793441,-0.40504006
12.069133,-3.0873032
14.363304,10.381626
6.4677415,13.800347
0.4775048,0.5050065
13.874546,7.4645853
11.525226,11.410892
0.18533404,-4.1703186
1.3016113,-3.0222592
1.9193083,11.215172
11.142036,9.857182
1.6724894,-6.6390204
1.7482417,8.385137
10.201511,12.436213
13.5036335,5.135011
13.18011,0.27563605
1.8199211,-5.2773027
12.833777,-0.44750202
4.0048018,14.418623
8.422711,13.755655
10.5439415,12.559714
10.9883375,11.52098
0.7535522,7.8903794
8.760386,13.985015
7.677395,14.406612
0.07221712,9.179019
0.4639349,-4.885379
1.0428253,12.229508
13.560668,9.492374
15.4260235,5.1050816
14.12901,-3.371018
13.640915,11.588013
7.246649,13.964564
8.7575655,11.4627
15.418604,-0.034249578
10.805195,7.7690687
12.2574625,-6.3794637
9.973762,-6.7371693
12.679634,-5.682153
7.660064,13.839863
9.001387,12.945475
14.0699835,10.139827
2.2205746,-7.885632
-0.3405029,-1.6062723
4.0657682,12.272863
2.522441,10.548588
12.390792,9.95821
14.283926,-3.2782755
1.001659,-4.340828
13.056655,3.6254115
15.424287,1.0601503
12.51814,12.244755
8.684614,13.872106
12.331,4.6113243
12.265776,-7.141076
4.161106,9.948169
2.4434783,11.199931
10.930092,-5.529366
8.505829,13.359685
12.341276,-4.0352087
10.237213,-3.4964724
4.0886025,12.005051
14.596493,-0.17842275
5.7012825,12.450334
9.951094,-6.0942903
13.363072,9.987816
13.919743,-0.0015460406
1.1334013,8.920724
5.22298,9.993348
14.741053,1.5225173
6.5718527,13.1888685
12.294941,9.031134
9.293019,-6.669161
0.9562938,12.141478
10.30322,-5.3897996
15.318625,2.4257758
0.6855522,8.078424
15.546016,2.1969209
14.461116,-2.5048685
13.534815,3.9208496
10.13298,13.26612
14.540688,1.091519
13.486912,-5.099918
6.1103168,11.290671
8.56271,13.602115
15.478547,5.2635784
12.18546,10.938276
0.9094005,-3.1636457
12.79068,7.506852
12.083718,4.987492
12.968981,11.035119
7.8540435,14.393514
13.74043,-5.227837
-0.77660435,2.5949533
7.174224,10.679173
0.15661645,0.23306784
13.981586,0.18704021
14.513288,1.2595145
10.310858,-5.083256
1.2078305,12.270414
4.722918,11.184692
10.920664,10.813069
14.891169,8.463166
15.887447,2.3663006
0.99982035,0.21908623
6.4199896,12.91651
0.18936144,-3.5553308
1.6602031,-2.2575035
0.49413788,1.3742971
0.045664076,10.130383
1.5610436,-4.421478
13.622312,9.687548
9.904634,-5.360931
13.386127,1.4935311
12.635007,13.074738
1.9376415,7.738502
10.694838,-1.9914297
15.03245,0.20149529
1.6221215,-4.1826
7.7776012,13.306281
3.818717,14.5510435
0.7388318,2.4849632
-0.35848868,-1.3613923
4.4301677,9.898824
6.274702,14.305073
13.014604,6.303448
4.3773904,13.342451
8.474054,13.773791
11.551241,-6.8702726
10.34897,14.812555
0.60031354,7.5755873
-0.47235793,6.8431435
9.162036,12.479374
10.932287,-6.2056637
9.080231,12.413471
3.1270905,10.258587
11.835649,-6.278735
14.835561,1.2386112
12.965039,-4.7942576
11.07481,-3.3333993
13.642053,7.7817173
15.492982,8.927274
2.0758238,9.177212
13.655955,8.928043
13.735288,-5.3131747
8.789535,12.676449
1.4588519,11.661499
12.533829,-1.7705686
12.829214,6.769952
11.4531355,11.144588
0.21162714,4.3263793
11.895755,0.46456045
1.7514057,-3.9278004
9.206143,-7.245508
14.237613,-1.676392
0.14434452,6.454732
13.277016,7.682819
-0.6634458,3.7450473
13.650703,-4.255601
5.225904,13.638357
14.685059,7.477765
10.125338,-4.9509835
14.28536,-0.82045615
15.176118,3.0982132
0.30257216,-3.599987
0.47662547,-1.5120494
14.400824,0.12819763
0.48355278,0.5491607
0.23108304,4.9218435
2.4575946,12.815134
10.196597,11.118383
7.40634,14.218626
15.889536,4.0859756
1.2824863,10.781141
13.5506,12.529989
-0.73023236,5.816757
-0.6352395,2.1298304
1.2481346,-2.6490943
14.468069,-0.112034686
9.778681,-5.853966
2.1351128,-3.544247
1.4348464,11.387441
10.766735,13.272429
13.571682,-0.07298251
12.533217,-1.9511099
14.913851,0.044683713
11.149374,13.725781
15.369068,2.7537923
0.17211033,0.39058945
3.8411827,13.452487
14.186818,8.694106
1.6409853,-2.2747972
11.11892,-6.163736
9.661442,15.008045
11.983315,11.653027
-0.81629884,2.0615735
8.675736,12.060259
1.3307981,-4.477021
11.573682,10.786346
12.297993,-6.5510645
-0.34024334,9.797786
6.9774694,14.458868
3.4816139,12.777198
0.7718395,7.903688
10.565384,9.262891
12.131542,-0.47796485
-0.8523393,5.766262
12.8146515,-2.5764635
13.055027,2.5369477
15.324883,2.7005749
1.0678306,-4.666714
0.9594096,9.62879
13.111923,13.119363
15.028767,10.158485
11.630569,-5.7859187
0.11089967,8.923807
1.3699366,-2.103636
2.0832896,12.802465
5.3887978,9.561809
0.86849403,-1.7021177
13.377857,-1.9613718
2.5124598,10.471792
15.213131,3.9861534
-6.4066167,4.0858135
9.21676,13.942324
6.634993,12.993598
13.598826,-1.7268518
4.9715023,11.105397
12.31415,2.353458
0.41163522,-4.8882704
14.5688925,3.6753492
14.182846,0.27345312
11.934751,-4.2602005
6.922322,14.843861
6.108384,10.759787
13.732647,10.767793
3.8415804,12.582242
2.9378722,12.8741665
0.66902214,7.0770144
0.13771832,8.266649
-0.40789104,9.899275
-6.420058,4.075183
14.463805,11.065884
1.5526704,-6.5930037
15.104655,6.5550246
13.205846,2.6795063
13.011708,-4.1218953
9.106517,-5.286178
13.438519,4.942168
-0.009719688,5.3485446
6.9227777,14.678043
0.7686024,7.88067
11.458632,11.230295
13.327084,8.949566
14.833447,-1.0451387
0.73298204,-5.347354
9.481835,15.125812
11.48897,-3.242598
2.8542974,8.822383
15.246575,9.681464
4.756131,12.214276
7.5391135,13.508754
-0.8507967,2.2482605
1.2239523,11.430184
-0.31448638,10.05849
13.391611,-5.7835016
5.8620877,14.5334425
-0.64319795,0.12796457
12.758787,-2.2976062
15.219078,0.8925176
14.222275,4.982475
11.800395,13.945311
10.964447,-7.1329722
2.8116918,12.71652
11.449108,13.750907
3.651017,10.938636
11.400104,-6.660307
